;10%_tails;5%_tails;2.5%_tails;1%_tails
ovule number;2,36;2,91;2,91;3,64
pollen number;1,75;2,86;3,17;6,35
Atwell107_phenotype;NA;NA;NA;NA
Atwell107_phenotype;1,3;0,37;0,74;NA
Atwell107_phenotype;1,4;1,4;0,7;1,75
Atwell107_phenotype;1,92;2,31;2,56;1,28
Atwell107_phenotype;1,52;2,42;2,42;NA
Atwell107_phenotype;1,46;1,76;1,76;1,95
Atwell107_phenotype;1,47;1,87;1,6;4
Atwell107_phenotype;1,73;1,33;1,6;2,67
Atwell107_phenotype;1,73;2,72;2,47;2,47
Atwell107_phenotype;1,78;1,64;2,74;2,74
Atwell107_phenotype;2,11;2,54;3,38;2,82
Atwell107_phenotype;1,32;1,89;2,26;3,77
Atwell107_phenotype;2;2,4;2,4;2
Atwell107_phenotype;1,09;0,73;NA;NA
Atwell107_phenotype;1,09;1,45;0,73;NA
Atwell107_phenotype;1,09;1,74;0,87;2,17
Atwell107_phenotype;0,75;1;NA;NA
Atwell107_phenotype;2,03;1,69;1,36;1,69
Atwell107_phenotype;1,26;1,47;1,68;1,05
Atwell107_phenotype;1,14;1,82;0,91;2,27
Atwell107_phenotype;1,03;1,54;1,03;2,56
Atwell107_phenotype;2,06;2,35;3,53;5,88
Atwell107_phenotype;0,87;0,43;NA;NA
Atwell107_phenotype;1,21;1,38;1,38;1,72
Atwell107_phenotype;1,92;1,54;2,31;3,85
Atwell107_phenotype;1,5;2;3;2,5
Atwell107_phenotype;1,53;1,69;0,68;1,69
Atwell107_phenotype;1,4;1,4;NA;NA
Atwell107_phenotype;2,11;2,11;1,05;NA
Atwell107_phenotype;1,02;0,82;0,41;NA
Atwell107_phenotype;1,07;1,79;2,14;3,57
Atwell107_phenotype;1,11;0,74;0,74;NA
Atwell107_phenotype;1,05;0,7;1,4;2,33
Atwell107_phenotype;0,92;0,84;0,67;0,84
Atwell107_phenotype;1,13;1,13;1,22;2,61
Atwell107_phenotype;0,79;0,79;0,4;0,99
Atwell107_phenotype;0,91;1,3;1,04;NA
Atwell107_phenotype;1,02;1,22;0,82;0,68
Atwell107_phenotype;0,93;1,17;1,52;2,07
Atwell107_phenotype;1,25;1,25;0,83;2,08
Atwell107_phenotype;1,19;1,19;1,36;1,69
Atwell107_phenotype;1,55;1,97;1,13;1,41
Atwell107_phenotype;1,65;0,92;0,73;0,92
Atwell107_phenotype;0,85;0,68;0,68;NA
Atwell107_phenotype;1,1;0,82;1,1;1,37
Atwell107_phenotype;1,08;1,39;1,24;1,93
Atwell107_phenotype;0,88;1,1;0,88;2,2
Atwell107_phenotype;0,86;0,57;0,57;1,43
Atwell107_phenotype;0,88;0,59;NA;NA
Atwell107_phenotype;1,61;1,94;1,61;2,42
Atwell107_phenotype;0,68;1,1;0,55;1,37
Atwell107_phenotype;1,03;1,38;1,03;0,86
Atwell107_phenotype;1,25;1,88;1,25;1,56
Atwell107_phenotype;1,71;1,71;1,71;NA
Atwell107_phenotype;0,78;0,63;0,63;NA
Atwell107_phenotype;1,06;1,7;2,55;4,26
Atwell107_phenotype;1,52;1,74;1,74;NA
Atwell107_phenotype;1;0,8;1,6;NA
Atwell107_phenotype;1,76;2,75;2,35;3,92
Atwell107_phenotype;0,82;1,22;2,45;2,04
Atwell107_phenotype;2,34;2,55;1,7;2,13
Atwell107_phenotype;1,15;1,54;3,08;5,77
Atwell107_phenotype;1,33;1,11;0,89;NA
Atwell107_phenotype;0,33;0,66;0,66;1,64
Atwell107_phenotype;1,7;1,7;0,85;NA
Atwell107_phenotype;1,46;1,67;1,67;NA
Atwell107_phenotype;0,48;0,48;0,95;NA
Atwell107_phenotype;0,83;1,67;NA;NA
Atwell107_phenotype;0,89;0,89;NA;NA
Atwell107_phenotype;1,29;1,24;1,03;1,55
Atwell107_phenotype;1,2;1,19;1,04;0,91
Atwell107_phenotype;1,03;1,13;0,21;NA
Atwell107_phenotype;1,41;1,41;2,35;4,71
Atwell107_phenotype;1,41;2,02;1,62;2,02
Atwell107_phenotype;1,56;2,22;2,67;4,44
Atwell107_phenotype;1,58;2;2,33;4,17
Atwell107_phenotype;1,19;0,95;1,9;NA
Atwell107_phenotype;1,76;1,96;2,35;NA
Atwell107_phenotype;0,49;0,98;1,97;3,28
Atwell107_phenotype;1,09;1,19;1,19;1,98
Atwell107_phenotype;1,14;1,27;1,52;1,27
Atwell107_phenotype;1,13;1,25;1,5;1,25
Atwell107_phenotype;0,89;1,78;0,89;NA
Atwell107_phenotype;1,22;2,04;1,63;NA
Atwell107_phenotype;1,64;2,11;2,11;2,63
Atwell107_phenotype;2,2;2,44;1,95;1,22
Atwell107_phenotype;0,31;0,63;1,25;NA
Atwell107_phenotype;0,85;1,02;1,36;1,69
Atwell107_phenotype;1,23;1,48;0,98;1,64
Atwell107_phenotype;1,55;1,72;1,38;1,72
Atwell107_phenotype;1,15;0,69;0,92;1,15
Atwell107_phenotype;0,91;1,09;NA;NA
Atwell107_phenotype;0,68;0,68;1,36;1,69
Atwell107_phenotype;1,32;1,89;3,02;1,89
Atwell107_phenotype;1,14;1,14;1,14;NA
Atwell107_phenotype;1,72;2,19;1,25;NA
Atwell107_phenotype;1,33;1,33;1,67;1,67
Atwell107_phenotype;1,41;1,28;2,56;5,13
Atwell107_phenotype;1,53;1,39;2,22;2,78
