counts freq HS
1 399127 0.1 HS01
2 95583 0.15 HS01
3 96270 0.2 HS01
4 77398 0.25 HS01
5 66930 0.3 HS01
6 54877 0.35 HS01
7 47831 0.4 HS01
8 42714 0.45 HS01
9 32327 0.5 HS01
10 438833 1 HS01
11 401730 0.1 HS02
12 131085 0.15 HS02
13 76020 0.2 HS02
14 56095 0.25 HS02
15 63044 0.3 HS02
16 59834 0.35 HS02
17 48427 0.4 HS02
18 43148 0.45 HS02
19 33551 0.5 HS02
20 438956 1 HS02
21 345923 0.1 HS03
22 166844 0.15 HS03
23 102730 0.2 HS03
24 76741 0.25 HS03
25 64803 0.3 HS03
26 51288 0.35 HS03
27 45722 0.4 HS03
28 44202 0.45 HS03
29 33673 0.5 HS03
30 419964 1 HS03
31 374788 0.1 HS04
32 123688 0.15 HS04
33 85428 0.2 HS04
34 68678 0.25 HS04
35 70892 0.3 HS04
36 59290 0.35 HS04
37 49993 0.4 HS04
38 43938 0.45 HS04
39 35478 0.5 HS04
40 439717 1 HS04
41 355561 0.1 HS05
42 160888 0.15 HS05
43 100520 0.2 HS05
44 76659 0.25 HS05
45 65004 0.3 HS05
46 50460 0.35 HS05
47 43678 0.4 HS05
48 41330 0.45 HS05
49 32283 0.5 HS05
50 425507 1 HS05
51 360638 0.1 HS06
52 151443 0.15 HS06
53 105730 0.2 HS06
54 78421 0.25 HS06
55 64391 0.3 HS06
56 49646 0.35 HS06
57 42949 0.4 HS06
58 40394 0.45 HS06
59 32007 0.5 HS06
60 426271 1 HS06
61 342978 0.1 HS07
62 163958 0.15 HS07
63 105102 0.2 HS07
64 78921 0.25 HS07
65 66795 0.3 HS07
66 51990 0.35 HS07
67 45966 0.4 HS07
68 43124 0.45 HS07
69 33510 0.5 HS07
70 419546 1 HS07
71 342593 0.1 HS08
72 152707 0.15 HS08
73 103745 0.2 HS08
74 81686 0.25 HS08
75 68254 0.3 HS08
76 53344 0.35 HS08
77 47864 0.4 HS08
78 43532 0.45 HS08
79 34002 0.5 HS08
80 424163 1 HS08
81 338755 0.1 HS09
82 157004 0.15 HS09
83 103277 0.2 HS09
84 78492 0.25 HS09
85 67889 0.3 HS09
86 55431 0.35 HS09
87 48217 0.4 HS09
88 45365 0.45 HS09
89 34471 0.5 HS09
90 422989 1 HS09
91 330725 0.1 HS10
92 155411 0.15 HS10
93 103926 0.2 HS10
94 81610 0.25 HS10
95 69065 0.3 HS10
96 52805 0.35 HS10
97 48031 0.4 HS10
98 45575 0.45 HS10
99 34898 0.5 HS10
100 429844 1 HS10
