Genotype table stem mean_rank Seed Long_Stamens Short_Stamens Petal_Area Petal_Length Petal_Width Sepal_Area Sepal_Length Sepal_Width Leaf_Area Leaf_Length Leaf_Width j.semis j.transplantation j.fleur1 j.recolte j.death flowering_time life_span
159 1 unknown 14.3417265892009 69.7573677000626 2.91565548054673 2.77856608330453 2.1276801361652 3.18696140958222 1.17827079329363 0.973929049807145 1.88522230809564 0.713253099908759 41.2900552400916 14.7798990400237 6.00335527790298 370 407 457 463 NA 87 NA
350 1 secondary 2.289428485 63.924639968233 2.77903807847171 2.70644623196464 1.83569808234132 3.07897054582646 1.12793971733577 1.34944226610698 2.10179746355036 0.871198929771793 33.1433885949791 9.93638533500958 5.99402399630373 370 407 449 457 NA 79 NA
351 3 principal 16 62.6703058654647 3.04060364754158 2.7341605717908 1.7401978468487 2.99153740556012 1.09575771399838 1.10470554624476 2.00136629984421 0.765640573962587 65.4020113325916 17.2390799014935 7.72129191406458 370 407 456 462 NA 86 NA
403 1 principal 17 72.416611910505 2.7171895368414 2.51060089156798 1.89508212379063 3.2252448779354 1.117241012767 1.02187582750223 2.06044507721 0.692543797680892 38.0750827370636 13.7274692828385 5.60578229757693 371 407 442 448 NA 71 NA
424 3 principal 17 58.8246834923546 2.18560204533935 1.9358564581699 1.37188557331173 2.61777882194671 1.01804541605846 1.13563736535036 1.97498716671976 0.773387577459089 41.8276476128527 12.0115162325794 6.42036404008422 371 407 457 465 NA 86 NA
430 1 principal 17 63.4166119105049 2.44385620350808 2.30010089156799 1.82108212379065 2.75949487793541 1.20899101276701 1.10237582750223 1.89619507721 0.763793797680893 44.2970827370635 12.7874692828385 6.67778229757692 370 408 457 464 NA 87 NA
630 1 principal 20 58.8797447911749 2.5839347302347 1.6846885507053 1.99239530317973 3.08171912709517 1.15210411894725 1.21692128481905 1.96380767783664 0.8260348081704 35.1099915778447 12.528778276096 5.3589986756357 370 408 468 476 NA 98 NA
763 2 principal 11 NA NA NA NA NA NA NA NA NA 59.5902802746486 16.1142541150438 7.2060379351381 370 408 441 447 NA 71 NA
765 3 principal 23 76.7509492536949 2.59509243212593 2.35853177644454 1.1075119320899 2.66922732026623 0.719271628418953 0.907228279984002 1.79196236797303 0.708869598438102 28.3074652944148 8.17313421909457 5.91879679620176 370 407 444 431 NA 74 NA
768 3 secondary 4.666666667 NA NA NA NA NA NA NA NA NA 49.5308730105533 15.1126392800321 6.51048998477427 370 407 454 468 NA 84 NA
772 1 principal 15 NA NA NA NA NA NA NA NA NA 57.6908101765428 15.8845966206668 6.68963804553775 371 407 440 447 NA 69 NA
801 2 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 31.6330704592397 12.0533018587442 5.37904367158188 370 408 499 NA 503 129 133
870 1 principal 16 NA NA NA NA NA NA NA NA NA 31.3354464568032 9.64703295175263 5.90871017155734 370 408 479 489 NA 109 NA
915 1 principal 12 48.6447237760547 2.59769754785259 1.69012145967245 1.46314349147551 2.97778779600247 1.0243025024666 1.0384667319742 1.95784074283227 0.748308780198383 61.6799013357617 14.9182876274092 7.92642166747898 370 408 454 463 NA 84 NA
932 1 principal 17 63.4166119105048 2.35485620350808 1.90443422490131 1.20283212379065 2.28924487793541 0.882991012767005 0.868375827502234 1.69544507721 0.693293797680894 39.5020827370636 13.2344692828385 5.79478229757693 371 407 462 468 NA 91 NA
991 3 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 8.63662011588143 5.40894598976475 2.50093702041046 371 407 NA NA 503 NA 132
992 1 unknown 14.3417265892009 NA NA NA NA NA NA NA NA NA 36.6030552400925 12.6768990400238 5.56435527790318 371 408 497 NA 503 126 132
997 2 principal 21 51.8069817761065 3.3153476175784 2.93826470703095 2.57461664339188 3.78017998807286 1.27944563891552 1.17030124404071 2.21119638018681 0.684756020399545 38.8296430772523 13.3216174259023 6.113759195334 371 408 468 475 NA 97 NA
1006 1 principal 18 64.5709895373949 2.07428793463917 1.63029677794709 1.73776985025367 2.791486294322 0.986778714827087 1.19855764660784 1.99556594408554 0.805290801177396 40.157719017324 16.0429056139243 5.33485442359652 371 407 479 493 NA 108 NA
