table;pot;ID.boite.eppendorf;Genotype;NASC;date.semis;date.transplantation;date.fleur1;date.recolte;stem;mean_rank;statut;date.death;note
1;1;3;7384;N76624;07/09/2021;13/10/2021;02/12/2021;09/12/2021;principal;12;harvested;;
1;2;3;6193;N77354;06/09/2021;14/10/2021;06/12/2021;13/12/2021;;;harvested;;
1;3;;9507;N76775;06/09/2021;13/10/2021;;;;;dead;17/01/2022;
1;4;3;9774;N76663;07/09/2021;13/10/2021;25/11/2021;09/12/2021;;;harvested;;
1;5;3;9843;N76840;06/09/2021;14/10/2021;06/12/2021;13/12/2021;both;5,943921953;harvested;;
1;6;1;9830;N76736;07/09/2021;13/10/2021;15/11/2021;22/11/2021;principal;16;harvested;;
1;7;;6074;N77150;06/09/2021;13/10/2021;;;;;dead;17/01/2022;
1;8;;6244;N77384;06/09/2021;13/10/2021;;;;;dead;17/01/2022;vers
1;9;1;5353;N78792;07/09/2021;14/10/2021;22/11/2021;01/12/2021;both;7,113786609;harvested;;doutes sur date de recolte
1;10;3;9643;N77245;06/09/2021;13/10/2021;23/11/2021;08/12/2021;principal;21;harvested;;
1;11;;9838;N76784;06/09/2021;13/10/2021;;;;;dead;17/01/2022;
1;12;4;630;N77036;06/09/2021;14/10/2021;13/12/2021;21/12/2021;principal;20;harvested;;doutes sur date de recolte
1;13;1;9647;N76690;07/09/2021;13/10/2021;17/11/2021;24/11/2021;principal;14;harvested;;
1;14;4;7002;N76442;06/09/2021;13/10/2021;10/12/2021;21/12/2021;principal;17;harvested;;
1;15;3;9978;N76350;06/09/2021;14/10/2021;29/11/2021;08/12/2021;principal;22;harvested;;
1;16;;9520;N76670;06/09/2021;13/10/2021;;;;;dead;17/01/2022;
1;17;3;9744;N76944;06/09/2021;14/10/2021;29/11/2021;14/12/2021;secondary;18;harvested;;branche principale morte
1;18;;628;N78951;06/09/2021;14/10/2021;;;;;dead;26/10/2021;
1;19;;1317;N76665;07/09/2021;13/10/2021;;;;;dead;26/10/2021;
1;20;;8351;CS77154;06/09/2021;13/10/2021;;;;;dead;date inconnue;bas du frigo
1;21;1;9660;N77236;06/09/2021;14/10/2021;22/11/2021;29/11/2021;principal;15;harvested;;
1;22;3;9738;N76722;07/09/2021;13/10/2021;02/12/2021;08/12/2021;;;harvested;;vers
1;23;3;9523;N76700;07/09/2021;13/10/2021;03/12/2021;10/12/2021;principal;15;harvested;;
1;24;3;9834;N76768;07/09/2021;13/10/2021;29/11/2021;08/12/2021;principal;19;harvested;;
1;25;1;5800;N78791;07/09/2021;14/10/2021;16/11/2021;22/11/2021;principal;13;harvested;;doutes sur date de recolte
1;26;;6123;N78064;06/09/2021;13/10/2021;06/01/2022;;;;dead;17/01/2022;
1;27;1;9519;N78886;06/09/2021;14/10/2021;22/11/2021;29/11/2021;both;6,738664101;harvested;;
1;28;;8237;N76964;06/09/2021;22/10/2021;;;;;dead;17/01/2022;
1;29;5;9867;N77083;06/09/2021;22/10/2021;06/01/2022;12/01/2022;;;harvested;;
1;30;4;9543;N76886;06/09/2021;13/10/2021;07/12/2021;17/12/2021;;;harvested;;
1;31;1;9585;N77287;06/09/2021;13/10/2021;09/11/2021;18/11/2021;;;harvested;;
1;32;;9524;N78887;06/09/2021;22/10/2021;10/01/2022;;;;dead;17/01/2022;vers
1;33;3;932;N76765;07/09/2021;13/10/2021;07/12/2021;13/12/2021;principal;17;harvested;;doutes sur date de recolte
1;34;;9531;N76761;07/09/2021;13/10/2021;31/12/2021;;;;dead;17/01/2022;
1;35;2;6180;N77339;06/09/2021;13/10/2021;22/11/2021;07/12/2021;secondary;4;harvested;;
1;36;2;9791;N76914;06/09/2021;14/10/2021;24/11/2021;07/12/2021;principal;20;harvested;;vers
1;37;;9081;N77026;06/09/2021;14/10/2021;;;;;dead;17/01/2022;
1;38;;9106;N77003;06/09/2021;22/10/2021;;;;;dead;26/10/2021;
1;39;1;8365;N77201;06/09/2021;13/10/2021;22/11/2021;26/11/2021;;;harvested;;
1;40;;9871;N77117;06/09/2021;13/10/2021;;;;;probably dead;INTROUVABLE;
1;41;3;9807;N77240;06/09/2021;13/10/2021;03/12/2021;13/12/2021;principal;20;harvested;;
1;42;2;350;N77382;06/09/2021;13/10/2021;24/11/2021;02/12/2021;secondary;2,289428485;harvested;;doutes sur date de recolte
1;43;5;8240;N76987;06/09/2021;13/10/2021;10/01/2022;19/01/2022;principal;16;harvested;;vers
1;44;;6917;N76850;06/09/2021;13/10/2021;;;;;dead;date inconnue;
1;45;;6102;N77295;06/09/2021;13/10/2021;;;;;dead;17/01/2022;
1;46;4;9887;N77196;06/09/2021;13/10/2021;16/12/2021;23/12/2021;principal;17;harvested;;bas du frigo
1;47;;9846;N76849;06/09/2021;14/10/2021;;;;;dead;17/01/2022;
1;48;3;9782;N77057;06/09/2021;14/10/2021;01/12/2021;08/12/2021;principal;13;harvested;;
1;49;;7117;N76479;06/09/2021;14/10/2021;;;;;dead;28/10/2021;
