accession_id,replicate_id,Area sweden 2009 (1st experiment),SizePlantingSummer2009,Size sweden 2009 (2nd experiment),SizePlantingSummerLocSweden2009,Area sweden 2009 (2nd experiment),DTF sweden 2008 (1st experiment),SizeLocSweden2009,DTFplantingSummerLocSweden2009,DTFlocSweden2008,DTFlocSweden2009,DTF spain 2009 (1st experiment),DTFplantingLoc2008,DTF spain 2009 (2nd experiment),Yield spain 2009 (2nd experiment),Size sweden 2009 (1st experiment),Yield spain 2009 (1st experiment),DTFmainEffect2009,DTFmainEffect2008,Size spain 2009 (2nd experiment),Size spain 2009 (1st experiment),DTFplantingSummer2009,DTFplantingSummer2008,SizeMainEffect2009,DTF spain 2008 (1st experiment),YieldPlantingSummer2009,DTF sweden 2009 (1st experiment),YieldLocSweden2009,DTF spain 2008 (2nd experiment),YieldMainEffect2009,YieldPlantingSummerLocSweden2009,Yield sweden 2009 (2nd experiment),Yield sweden 2009 (1st experiment),DTF sweden 2009 (2nd experiment),DTF sweden 2008 (2nd experiment)
8244,1213,29198.5,-2.725,5.3,2.375,9682.5,48.75,-1.05,7.5,-6.5,-14.5,80.5,9.92502,62.25,0.0285,6.6,0.1275,23.0,14.75,9.325,13.125,-4.75,-4.5,4.05,73.75,0.180574,42.75,0.299074,51.5,-0.218074,-0.259074,0.051,0.2735,36.25,44.0
8243,1214,23934.5,-1.9,9.7,-0.2,14558.0,,6.025,16.0,,12.25,73.0,,62.0,0.022,12.75,0.217,15.5,,9.225,12.2,2.5,,3.125,,0.0845741,62.0,0.250574,,-0.128574,-0.242574,0.0125,0.3145,71.25,
7150,1215,21870.5,-2.425,3.075,3.125,5505.0,28.75,0.3,6.5,-2.75,-0.5,57.0,2.5,37.75,0.136,3.325,,-0.5,-9.0,5.0,8.5,-5.75,2.25,-0.575,50.0,0.313148,33.25,0.234148,34.5,-0.243148,-0.307148,0.0455,0.1835,24.75,22.6667
7149,1216,17426.5,-2.8,3.35,4.07921,17078.0,,-0.525,19.25,,-11.75,62.25,,33.5,0.0785,2.925,0.282,4.75,,5.05,8.925,-15.25,,-0.15,,0.0760741,27.25,-0.0396877,,-0.0635741,0.0161877,0.0375,,22.0,
7147,1217,15471.5,0.5,5.05,0.725,12494.0,40.0,-1.55,9.0,-6.0,-6.0,66.5,7.92502,44.75,0.1155,4.775,0.2635,9.0,5.5,11.225,11.8,-8.25,-4.25,2.725,64.5,0.131574,37.25,0.109574,42.5,-0.0820741,-0.0795741,0.128,0.22,28.75,33.5
7143,1218,16289.0,-2.8,2.6,2.625,7705.5,31.25,0.525,30.8114,-12.75,-7.06137,62.5,12.925,34.0,0.1105,3.725,0.2985,5.0,3.5,4.8,8.675,-15.0,-5.25,-0.4,62.5,0.0915741,32.0,-0.0364259,39.5,-0.0470741,-0.0270741,0.0295,0.109,38.75,28.75
7141,1219,16773.0,-4.25,2.5,5.075,9018.5,29.5,-3.5,16.0,-8.73348,-12.0,62.75,6.9085,36.25,0.0855,2.625,,5.25,-2.26652,6.275,11.6,-13.0,-2.48348,2.525,57.0,-0.0055,27.5,-0.108,36.5,0.025,0.0645,0.0245,0.1095,21.25,23.75
7139,1220,23305.5,-1.575,3.725,2.175,15327.0,32.5,2.025,19.75,-1.25,-9.25,63.75,3.17502,35.75,0.1385,4.075,0.258,6.25,-6.75,4.875,7.525,-14.5,5.5,-1.55,52.25,0.160074,31.25,0.0715741,40.0,-0.0875741,-0.108074,0.0845,0.1765,27.25,31.0
7135,1221,24379.5,-2.525,3.725,3.125,14894.0,30.75,-2.45,21.4066,-11.5,-14.75,69.25,13.0259,40.75,0.087,4.075,0.183,11.75,1.75,8.4,12.0,-15.0,-1.75,2.925,60.75,0.183574,31.25,0.225574,41.25,-0.162574,-0.198574,0.0965,0.2555,28.0,32.5
7128,1222,26964.0,-1.75,4.675,2.925,19073.5,29.75,-0.85,11.3234,-5.75,-6.32337,62.75,5.17091,42.0,0.0915,4.45,0.3005,5.25,-5.0,7.95,10.775,-7.25,6.5,1.7,54.0,0.0705741,32.3333,0.131574,42.75,-0.0450741,-0.159574,0.046,0.279,28.0,31.6667
7126,1223,23086.5,-0.625,,,16957.0,105.25,7.475,49.5,34.0,27.25,85.5,23.425,100.25,,13.3,0.0725,28.0,30.75,9.6,11.3,28.25,18.75,2.225,89.75,,89.5,,90.75,-0.273074,,,,158.0,137.25
6966,1224,20744.5,0.35,10.675,3.025,10465.5,,3.125,6.75,,0.25,66.25,,60.5,0.0575,8.25,0.2385,8.75,,9.875,10.6,7.75,,1.525,,0.0985741,43.25,0.0540741,,-0.107074,-0.0535741,0.0405,0.1395,48.5,
6967,1225,7259.0,-0.55,4.0,1.175,15691.5,31.5,2.575,3.75,-7.5,2.75,56.75,5.43987,40.5,0.086,4.325,,-0.75,-1.5,5.6,7.225,-2.75,7.98515,-1.85,57.5,0.128,36.25,0.0305,46.3333,-0.108,-0.0315676,,0.115,28.0,34.75
6964,1226,13779.0,-4.475,10.275,2.8,14236.5,,4.65,63.25,,6.0,85.25,,80.25,,12.9,0.042,27.75,,8.175,13.725,8.5,,4.65,,,68.0,0.248574,,-0.303574,,,0.1375,130.5,
6965,1227,20376.0,-5.35,8.075,0.875,7703.5,,5.625,25.25,,14.75,89.5,,103.0,,13.5,0.0875,32.0,,6.925,13.35,27.0,,4.275,,,81.0,0.237812,,-0.258074,,,,124.0,
6962,1228,18509.0,0.2,5.6,-0.825,18248.0,43.25,1.5,3.25,-3.25,-2.0,70.25,10.675,48.0,0.0625,7.175,0.26,12.75,6.0,10.275,11.15,-8.75,-2.75,2.075,65.0,0.0820741,45.0,0.188074,44.5,-0.0855741,-0.0695741,0.1635,0.295,30.25,41.0
6963,1229,25646.0,2.35,11.05,0.425,17549.0,,3.15,3.0,,-2.0,71.5,,59.0,0.0545,9.225,0.247,14.0,,12.825,11.55,1.0,,2.475,,0.0870741,46.25,0.361074,,-0.0985741,-0.291074,0.107,0.455,41.0,
6960,1230,10780.5,-1.8,3.25,3.65421,13119.0,,0.575,23.25,,-14.0,64.25,,31.0,0.0655,2.25,0.268,6.75,,4.275,7.15,-19.75,,-1.925,,0.0770741,27.0,-0.0396877,,-0.0775741,0.03112,,,21.25,
