Genotype,Seed,Long_Stamens,Short_Stamens,Petal_Area,Petal_Length,Petal_Width,Sepal_Area,Sepal_Length,Sepal_Width,Leaf_Area,Leaf_Length,Leaf_Width
8354,80,3.124,2.48566666666667,1.371,2.73225,0.859,0.9705,2.0915,0.63725,76.318,16.844,8.169
2278,76,2.4715,2.325,1.156,2.57175,0.808,0.88975,2.022,0.608,35.913,13.494,5.713
9830,74,3.2085,2.569,1.81825,3.308,1.11925,1.087,1.871,0.7715,56.697,14.331,7.492
9839,74,2.73066666666667,2.638,2.06675,3.101,1.22375,1.00975,1.92325,0.70825,35.49,13.697,5.895
403,72,2.712,2.5225,1.881,3.225,1.116,1.002,2.04925,0.68425,39.232,13.911,5.683
6923,72,2.47466666666667,2.338,1.1705,2.57475,0.821,0.94925,1.96725,0.64925,33.927,11.939,5.366
7327,72,2.74675,2.0255,1.1095,2.65175,0.80125,0.91675,1.7885,0.706,54.722,19.623,6.302
7333,72,2.84075,2.298,1.28675,3.02425,0.80425,0.956,1.9625,0.6525,52.764,16.66,6.747
9660,72,2.579,2.36566666666667,0.99975,2.7125,0.6845,1.0435,2.00825,0.71175,40.399,12.941,6.15
9847,71,2.4714,1.848,1.185,2.64925,0.86875,1.15875,1.9705,0.786,56.563,17.466,6.768
9897,71,2.87566666666667,2.5485,2.2425,3.45875,1.137,1.2375,2.267,0.756,75.396,17.977,7.805
9781,70,2.2335,2.012,1.241,2.434,0.86875,1.131,1.85025,0.8415,37.565,13.13,5.761
9823,70,2.5055,1.913,1.286,2.63875,0.903,0.9945,2.0175,0.6895,34.446,11.7155,5.967
9534,69,2.6445,2.34,1.31625,2.664,0.9265,0.85625,1.8015,0.64525,50.602,15.974,6.715
6951,69,1.3835,1.302,0.9005,2.1505,0.74275,0.75875,1.74425,0.626,29.752,9.415,5.655
6970,68,2.956,2.813,1.8765,3.322,1.0925,0.98375,2.015,0.7495,26.303,10.997,5.318
7337,68,3.014,1.338,1.5945,3.26375,0.92725,1.18925,2.174,0.8465,37.106,11.695,5.889
9873,68,2.77733333333333,2.35,1.99875,3.312,1.14575,1.199,2.0905,0.7435,52.189,18.485,6.35
6008,67,2.80466666666667,2.40766666666667,1.90525,3.3495,1.12375,1.1145,2.0845,0.7165,32.198,9.631,5.366
7062,67,2.87025,2.61,2.06566666666667,3.36833333333333,1.23866666666667,1.497,2.17025,0.972,48.036,13.926,7.329
8357,67,2.44175,1.349,1.48275,2.85525,1.03425,0.9735,1.88475,0.74925,14.347,8.056,3.778
9526,67,2.57,1.94375,0.96025,2.36925,0.81725,0.8585,1.65775,0.698,34.355,11.791,5.305
9560,67,2.486,2.22733333333333,1.693,2.99975,1.021,1.0405,1.88825,0.75075,40.98,14.8,5.948
9657,67,2.768,2.72,1.1055,2.74125,0.806,1.1565,1.98875,0.801,41.422,12.301,7.119
9726,67,2.90575,2.295,1.9415,3.2755,1.086,1.301,2.14,0.8345,52.382,15.691,6.668
9609,67,2.512,2.2915,0.9865,2.657,0.763,0.70825,1.6555,0.5985,31.084,11.752,5.092
5353,67,2.46866666666667,2.179,1.171,2.55325,0.8805,1.0035,2.07175,0.71175,58.095,16.704,6.988
9647,66,2.54166666666667,2.536,1.2335,2.4505,0.86075,0.96475,1.81975,0.70275,32.029,15.204,4.854
9779,66,2.83033333333333,2.58866666666667,2.052,3.41475,1.09475,1.3245,2.12225,0.84025,53.397,15.082,7.017
7394,66,2.2545,1.443,2.52575,3.1935,1.28475,1.684,2.60525,0.928,45.657,12.792,7.263
6943,66,1.32,1.19425,0.618,1.98775,0.57775,0.86675,1.80575,0.651,NA,NA,NA
9571,66,1.84766666666667,1.4525,1.33175,3.009,0.873,0.9005,1.906,0.664,53.364,14.788,6.775
9651,65,2.786,2.0625,2.0345,3.1515,1.1905,1.09575,1.9655,0.75075,68.375,15.014,7.658
9725,65,2.689,2.242,1.379,2.9388,0.9556,0.9865,1.83,0.7455,56.42,12.694,7.497
9799,65,2.653,2.2855,0.96375,2.6445,0.68625,1.0195,1.80825,0.75225,36.737,11.263,5.928
7158,64,2.4405,1.881,1.961,2.8215,1.22675,1.09925,2.07,0.724,48.409,14.536,6.72
7250,64,3.021,2.68566666666667,4.35325,3.99825,1.82975,1.473,2.27575,0.882,47.005,10.154,7.805
7328,64,2.65075,2.196,0.97275,2.42575,0.79825,0.91425,1.7265,0.7795,47.357,13.575,6.484
9573,64,2.215,1.517,1.114,2.42675,0.88475,0.90925,1.881,0.67225,45.612,14.028,6.122
7319,63,2.45725,2.288,1.1574,2.753,0.7762,0.84725,1.76125,0.6375,57.063,14.769,7.528
9776,63,2.5235,2.36025,2.23025,3.33075,1.26875,1.4375,2.16225,0.9225,51.797,15.224,6.604
9817,63,1.949,0.797,1.37675,2.2975,0.971,1.25433333333333,2.01133333333333,0.898,43.155,13.046,6.816
9883,63,2.526,2.134,1.4625,2.5455,1.06875,0.933,1.66825,0.73375,46.377,14.453,6.581
2317,62,2.3215,1.317,1.08225,2.58425,0.81625,0.99775,1.92875,0.7175,41.867,14.261,6.268
7217,62,2.41866666666667,2.00366666666667,1.123,2.589,0.8325,0.89825,1.7525,0.72025,31.726,11.885,5.564
7382,62,2.98733333333333,2.55066666666667,1.66775,3.15575,0.96625,1.19225,1.927,0.87525,51.052,14.516,7.191
6971,61,3.14766666666667,2.50933333333333,1.76725,3.474,1.0715,1.09875,2.0065,0.74625,77.501,19.208,7.426
7268,61,2.43333333333333,1.883,1.511,2.95925,0.96975,0.9045,1.9245,0.69525,43.717,13.63,6.581
9510,61,1.92575,1.575,0.83425,2.07,0.7405,0.78275,1.651,0.67075,34.163,12.595,5.175
9515,61,2.90966666666667,2.417,1.228,2.757,0.8665,0.98825,1.90875,0.70475,34.754,12.447,5.2
9559,61,2.69633333333333,2.098,1.5295,2.90125,0.899,0.963333333333333,1.93033333333333,0.669,66.862,16.945,7.291
9585,61,2.3276,2.03,1.57975,2.93925,1.064,0.91675,1.907,0.682,50.949,13.482,6.745
5907,60,2.783,2.62,1.55,2.8805,0.94225,1.037,1.951,0.7735,32.843,11.718,5.738
7236,60,2.1755,1.639,1.08,2.50575,0.89625,0.87425,1.73,0.71325,45.404,13.882,6.445
9653,60,1.692,1.252,0.94975,2.4045,0.818,0.79,1.69675,0.637,44.654,14.465,6.636
9800,60,3.0255,2.438,2.9625,3.7135,1.46875,1.42275,2.231,0.84175,41.375,15.052,5.806
7347,59,2.5165,2.329,1.706,3.1555,1.0365,1.245,2.33525,0.74575,53.394,14.196,7.286
8419,59,2.577,2.4355,2.03925,3.316,1.07075,1.4835,2.1675,0.99575,116.422,19.736,9.919
8386,59,2.5235,2.279,1.45075,2.99525,0.94375,1.109,2.01075,0.7535,49.841,11.977,7.114
5984,58,2.827,2.308,1.7028,3.1818,1.0256,1.005,1.95075,0.7235,36.548,11.259,5.715
6424,58,2.41375,1.977,2.069,3.21333333333333,1.1,1.08275,2.09125,0.708,NA,NA,NA
6898,58,2.345,1.90975,1.2955,2.72675,0.90875,1.20075,2.07075,0.7825,38.825,12.309,5.651
7081,58,2.466,1.767,1.58325,3.03225,0.9475,1.29675,1.93425,0.9045,35.702,11.701,5.458
7127,58,2.3125,2.2625,1.0675,2.30025,0.8645,1.00075,1.8435,0.71975,28.013,9.499,5.325
8420,58,2.68166666666667,2.11066666666667,1.76375,3.01225,1.2005,1.175,2.0825,0.816,57.665,15.751,6.712
7163,57,2.277,1.8585,1.7635,2.71925,1.13675,1.4115,2.21775,0.9525,40.595,10.539,6.487
8365,57,2.58,1.848,1.97525,3.309,1.15075,1.1345,1.9975,0.78425,46.759,12.709,6.574
9629,57,2.96366666666667,2.455,1.61,2.9975,0.95875,0.7985,1.922,0.5515,42.805,12.234,6.273
6390,56,2.879,2.778,1.5015,2.85,0.96525,1.31175,2.02875,0.929,55.237,13.447,7.144
7028,56,2.748,2.2445,1.4125,2.52275,1.09025,1.081,1.94425,0.75275,32.5,9.895,5.962
6958,55,1.84775,1.721,1.17025,2.36025,0.91975,1.38375,2.02075,0.92,48.491,14.176,6.53
9509,55,2.676,2.27133333333333,1.67375,2.881,1.17825,1.18075,2.09025,0.778,39.004,12.963,6.429
9835,55,2.921,2.4715,1.43325,3.144,0.897,1.164,2.191,0.746,39.436,14.664,5.714
7186,55,2.928,2.384,2.406,3.8265,1.15575,1.24725,2.30375,0.7475,67.992,15.314,7.809
9813,55,2.346,2.0145,1.10175,2.45675,0.819,1.01,2.03975,0.6865,64.945,17.016,7.483
9512,54,2.38233333333333,2.367,1.1845,2.54875,0.92,0.86375,1.80125,0.682,45.866,14.704,6.504
