idPot,idAccession,LifeCycleDuration,Final_rosetteDM,FruitNumber,LogisticCoeff_A,LogisticCoeff_B,LogisticCoeff_tinf,Minf,GRinf,RGRinf
1,6974,104,2015.18,39,2015.18,3.473790524,31.82859035,3.753930498,145.0274553,143.9349887
10,6944,45,222.08,171,222.08,4.029680871,25.09944089,5.117511192,13.77776598,124.0793045
100,9526,44,176.35,156,176.35,4.188058442,23.0035685,7.566286351,10.52695434,119.3870637
101,9945,47,177.25,134,177.25,4.0537508,25.02492183,4.249784203,10.93123435,123.3425597
102,8386,53,174.27,279,174.27,4.739759605,28.74921587,3.273666856,9.191921875,105.4905821
103,9719,50,336.53,224,336.53,3.44612308,24.92940448,4.364059595,24.41366662,145.090581
105,6970,39,100.72,177,100.72,3.307903499,19.14712641,5.96585194,7.612072121,151.1531398
106,7373,59,697.48,150,697.48,4.565499116,33.91208371,3.686261948,38.1929764,109.5170511
107,6936,52,301.35,254,301.35,4.311456139,27.66701286,4.923931708,17.47379483,115.9701001
108,9966,71,1594.28,19,1594.28,4.626156199,35.76885422,6.050395029,86.15575931,108.081089
109,763,41,136.18,112,136.18,4.198249111,23.01197457,5.87382267,8.109332986,119.0972681
11,7008,82,1905.5,96,1905.5,4.744640343,39.18731731,4.050062944,100.402763,105.3820656
110,9798,56,242.78,195,242.78,4.764389761,28.42600883,4.972963522,12.739302,104.9452344
111,6209,84,927.88,118,927.88,6.058537061,41.08025014,5.45760838,38.28812099,82.52817387
112,765,51,173.09,221,173.09,4.141990718,29.48825348,1.552331047,10.44727112,120.7149011
113,9386,83,1451.31,40,1451.31,5.537859713,42.73818373,3.918914218,65.51764017,90.28758869
115,9321,79,1028.61,86,1028.61,5.251848116,37.74956776,5.192063824,48.96419209,95.20458111
116,9726,51,168.22,218,168.22,3.355637012,26.85343582,1.101067924,12.53264279,149.0030055
117,6965,87,1514.62,55,1514.62,4.70041309,38.00364194,3.90649004,80.55781328,106.3736294
118,6076,87,278.4,NA,278.4,NA,NA,NA,17.981249,129.1756394
119,9811,61,490.98,222,490.98,4.572326494,33.7435452,2.71280259,26.8451958,109.3535207
12,9470,92,1624.52,33,1624.52,4.651816301,40.69842403,2.208631821,87.30568314,107.4848979
120,6241,72,700.88,46,700.88,4.512712869,38.60503505,1.235906672,38.82808525,110.7980974
121,9104,48,406.6,210,406.6,3.798663586,27.17230315,4.377113061,26.75941096,131.6252384
122,9741,60,567.29,188,567.29,5.092282171,31.99647415,7.449015195,27.85047946,98.18780328
123,7063,41,218.41,216,218.41,3.984275826,22.94088656,8.16835806,13.70449798,125.4933197
124,6025,77,770.99,154,770.99,2.955450136,25.93345643,3.497043565,65.21764574,169.1789666
125,9653,39,114.34,236,114.34,4.036690492,20.30314335,8.263028015,7.081295941,123.8638436
