Accession Abbreviation,Stock Number,Latitude of Origin,Longitude of Origin,Fitness in Norwich Autumn,Fitness in Halle Autumn,Fitness in Valencia Autumn,Fitness in Norwich Spring,Fitness in Norwich Summer,Fitness in Oulu Autumn,Fitness in Halle 2007,Fitness in Valencia 2007,Year Collected (TAIR),Likely Year Collected,Time period
Ta-0,cs6867,49.41,14.66,17.5,29128.73333,3709.125,3806.585714,2965.283333,NA,NA,NA,1937,1937,pre1950
Wa-1,cs6885,52.23,21.01,776.64,6833.123333,8689.2,3796.6,2066.46,1066.721429,NA,NA,1937,1937,pre1950
Bd-0,cs6612,52.45,13.28,909.816,27825.16,1034.666667,5066.945714,3569.775,2591.013333,10167.52,5288.8,1939,1939,pre1950
Col-0,cs1092,52.73,15.24,479.32,24618.112,8588.98,3967.485714,4117.733333,2882.142857,18699.58667,4052,1939,1939,pre1950
Dr-0,cs6684,51.1,13.82,2600.6325,47424.74833,7082.375,4594.794286,2457.383333,NA,NA,NA,1939,1939,pre1950
Gie-0,cs6720,50.58,8.65,0,13450.34,1849.408,4587.863333,4561.44,3151.885714,NA,NA,1939,1939,pre1950
Gr-3,cs6725,47.07,15.44,1464.784,21097.796,8239.575,4149.214286,2370.841667,3174.18,14777.6,5855.5,1939,1939,pre1950
Gr-6,cs6728,47.07,15.44,4882.624,43572.62,5933.3,4319.928571,3822.366667,NA,NA,NA,1939,1939,pre1950
In-0,cs6740,47.26,11.39,3027.776,19917.46,4336.83,5354.228571,4360.754,NA,NA,NA,1939,1939,pre1950
Is-0,cs6741,50.48,7.6,2766.698,24298.075,9413.266667,4417.728571,4242.99,NA,NA,NA,1939,1939,pre1950
La-1,cs6767,52.73,15.24,3065.514,35927.23833,14780.08,4246.075,5890.9875,NA,NA,NA,1939,1939,pre1950
Ler-1,cs6928,52.73,15.24,201,16290.5,8801,2671.942857,2370.24,1262.01,12091.275,3071.333333,1939,1939,pre1950
Lu-1,cs1352,55.7,13.19,4540.576,16454.51,0,2898.933333,2314.366667,2115.683333,7991.2,2785.285714,1939,1939,pre1950
St-0,cs6863,59.33,18.06,9051.826,28924.488,1983.282,5702.792857,3744.933333,2528.673333,NA,NA,1939,1939,pre1950
Bl-1,cs6615,44.49,11.35,3800.8,19779.06,11069.66667,4369.07,6396.53,3156.038462,NA,NA,1940,1940,pre1950
Bs-1,cs6627,47.56,7.58,5264.236,49649.06,20841.8,7592.32,4083.18,1880.073333,38187.04,13238.25,1940,1940,pre1950
Bs-5 ,cs6629,47.56,7.58,6739.496,29197.012,6047.24,6698.802857,2847.128333,NA,NA,NA,1940,1940,pre1950
Bsch-0,cs6630,50.02,8.67,1264.484,34472.604,18477.68,6224.531667,3395.208333,NA,NA,NA,1940,1940,pre1950
Da-0,cs6676,49.87,8.65,5336.18,40096.9,2984.32,9402.428571,5838.093333,NA,NA,NA,1940,1940,pre1950
Fr-2,cs6708,50.12,8.68,2611.604,34663.46333,10607.426,6476.68,3275.233333,NA,NA,NA,1940,1940,pre1950
Li-2:1 ,cs6772,50.37,8.12,4129.728,31249.95333,5123.8625,4078.24,3522.133333,NA,NA,NA,1940,1940,pre1950
Si-0,cs6861,50.87,8.02,12423.2,34457.52,8326.6,8553.04,9805.566667,3310.964286,16847.12,10368.5,1940,1940,pre1950
Vi-0,cs6883,50.18,8.74,5876.16,24988.46,10920.165,5516.074286,4108.46,NA,NA,NA,1940,1940,pre1950
Bu-0,cs6632,50.7,9.72,506.42,17360.73667,218.816,2565.951429,1647.133333,NA,NA,NA,1941,1941,pre1950
Ep-0,cs6697,50.17,8.39,8518.4,52322.39,6254.675,10717.47714,3332.01,NA,NA,NA,1941,1941,pre1950
Kn-0,cs6762,54.9,23.89,2817.404,12611.85,3856.666667,6510.85,5393.56,NA,NA,NA,1942,1942,pre1950
Rsch-0,cs6848,56.27,34.33,3343.76,8591.975,10777.566,4975.028571,4183.32,NA,NA,NA,1942,1942,pre1950
Chi-0,cs6664,53.74,34.74,1425.6,16624.45,8046.624,1906.983333,2945.5,NA,NA,NA,1943,1943,pre1950
Lm-2,cs6784,48.01,0.2,5292.815,47215.53333,11908.494,8193.822857,3439.666667,NA,NA,NA,1943,1943,pre1950
Nw-1,cs6812,50.32,8.41,1085.77,44116.925,6162.52,6103.092857,3762.48,NA,NA,NA,1943,1943,pre1950
Nw-3 ,cs6814,50.32,8.41,5584.544,35490.38667,4164.3,5989.661429,3132.266667,NA,NA,NA,1943,1943,pre1950
Rou-0,cs6847,49.44,1.1,21133,28469.91667,4297.62,6268.63,5541.433333,1740.766667,NA,NA,1943,1943,pre1950
Stw-0,cs6865,52.97,36.07,2753.762,10940.38833,16378.36667,3326.401429,3490.613333,NA,NA,NA,1943,1943,pre1950
Ws-0,cs1602,53.09,30.91,6959.61,30725.48667,16661.675,3390.98,3029.833333,NA,NA,NA,1943,1943,pre1950
Li-6:1,cs1328,50.37,8.12,16897.399,31587.382,6594.5,3765.707143,6898.65,NA,NA,NA,1944,1944,pre1950
G-0,cs6730,50.39,8,2210.14,19898.1,13717.1375,6356.58,2726.99,NA,NA,NA,1947,1947,pre1950
Ga-0,cs6714,50.3,8,8075.1175,24416.204,7422.125,3673.78,5326.466667,2789.96,NA,NA,,1948,pre1950
Li-10,cs6911,50.37,8.12,1196.324,37220.686,1583.3,2429.392857,3971.081667,NA,NA,NA,,1948,pre1950
Ll-0,cs6781,41.83,2.89,16366.964,46250.05,10895.44,6726.957143,4509.216667,NA,NA,NA,,1948,pre1950
Ll-2 ,cs6783,41.83,2.89,2987.994,14247.01667,12777.6,9134.622857,3627.95,44.85,15508.8,9825.75,,1948,pre1950
Loh-0,cs6787,50.37,8.12,8207.6,53165.82,4545.483333,8833.471429,4707.87,NA,NA,NA,,1948,pre1950
Pla-0,cs6834,41.92,3.08,206.5,28064.95,17876.16,4038.142857,3514.54,264.5333333,30431.31667,16666,,1948,pre1950
Se-0,cs6852,41.42,2.25,10999.308,40665.85167,3709.785,6618.614286,7360.123333,30.46153846,NA,NA,,1948,pre1950
Sei-0,cs6853,46.55,11.56,1950.904,20843.918,7152.35,5405.485714,2106.536,NA,NA,NA,,1948,pre1950
Sf-1,cs6855,42.47,0.53,4929.708,23469.44333,16935.96,7244.457143,4242.516667,0,NA,NA,,1948,pre1950
Sf-2 ,cs6857,42.47,0.53,17751.42,13248.03333,6536.775,4988.285714,7675.86,0,18648.925,3654.666667,,1948,pre1950
Ts-1,cs6868,41.72,2.93,20168.106,45435.16667,18105.48,6996.357143,3287.216667,NA,NA,NA,,1948,pre1950
Ts-5,cs6871,41.72,2.93,9289.75,32380.78,10067.35,4268.125714,5573.433333,0,30479.7,1253.5,,1948,pre1950
Mr-0,cs6795,44.78,9.77,127.44,8687.553333,705.5,1129.68,468.465,896.2466667,NA,NA,1952,1952,1951to75
An-1,cs6603,51.22,4.42,5017.333333,27544.24667,7966.625,9198.765714,6171.5,3367.733333,NA,NA,1954,1954,1951to75
Bla-1,cs6616,41.67,2.79,8413.33,23456.94,8144.5,3321.68,7772.325,NA,NA,NA,1954,1954,1951to75
Co-2,cs6670,40.21,-8.43,4089.9,27674.325,26418,4984.385714,2698.916667,19.55333333,11331.75,2449.8,1954,1954,1951to75
Fe-1,cs6703,48,7.85,9285.23,46310.04,5734.0775,6632.914286,3901.106667,NA,NA,NA,1954,1954,1951to75
Sg-1,cs6858,48.12,8.33,6056.728,21196.916,9789.6175,3988.694286,5294.725,NA,NA,NA,1954,1954,1951to75
Uk-4,cs6882,48.03,7.76,315.02,42077.218,7754.5,4593.822857,2275.558333,NA,NA,NA,1954,1954,1951to75
Ak-1,cs6602,48.07,7.65,21045.262,32831.18,5118.075,6626.271429,3666.1,NA,NA,NA,1955,1955,1951to75
Lo-1,cs6785,47.62,7.66,5187.6,51456.38667,18952.55,6418.242857,4860.9,NA,NA,NA,1955,1955,1951to75
Mrk-0,cs6796,47.64,7.59,7597.32,27660.0125,6184.44,6391.345714,4461.383333,3099.333333,NA,NA,1955,1955,1951to75
Set-0,N1508,54.07,-2.28,NA,10323.78333,461.425,NA,NA,1872.514286,NA,NA,1955,1955,1951to75
Bla-10Ê,cs6622,41.67,2.79,12246.36,17440.204,9922.055,7709.171429,6697.74,159.5285714,NA,NA,1956,1956,1951to75
