accession_id,FT.Diameter.Field,At2.CFU2,Leaf.serr.16,Seed.bank.133.91,Na23,Leaf.serr.10,Emco5,Leaf.roll.16,Leaf.roll.10,Bs,X2W,Rosette.Erect.22,Leaf.serr.22,Width.16,Storage.28.days,LY,avrRpm1,Width.10,Chlorosis.22,Storage.7.days,As2.CFU2,Co59,FW,Cu65,Anthocyanin.22,Width.22,Storage.56.days,YEL,FLC,FT16,FT10,FT.Duration.GH,Se82,LDV,Noco2,X8W.GH.LN,X0W,MT.GH,After.Vern.Growth,Aphid.number,LN22,Bs.CFU2,avrRpt2,Hypocotyl.length,Germ.22,Leaf.roll.22,Silique.16,X8W,FT.GH,DSDS50,Ca43,LC.Duration.GH,At1.CFU2,B11,Chlorosis.10,RP.GH,Chlorosis.16,LFS.GH,Germ.10,Germ.16,Anthocyanin.16,Anthocyanin.10,X0W.GH.FT,Ni60,P31,Emwa1,As75,Germ.in.dark,FRI,As.CFU2,Trichome.avg.C,Vern.Growth,Mo98,Hiks1,Bacterial.titer,Zn66,Trichome.avg.JA,LES,SD,Emoy.,K39,X0W.GH.LN,At2,At1,LN10,FT.Field,LN16,avrB,LD,Seedling.Growth,S34,Cd114,DW,Seed.Dormancy,Mn55,Silique.22,avrPphB,Fe56,X8W.GH.FT,X4W,Li7,FT22,As2,SDV,Mg25,Secondary.Dormancy,As
5837,25.1824,3.711,1,0,1159.9,0.5,1,1,1,5.333,28,0,1,8.5,15,0,1,4.5,1,2.75,5.055,1.47198,1.575,0.647707,0,10.5,81.3899,0,0.813,50,57,22.505,7.59213,25,1,15.8,44.7,14.6875,0.0599347,16.5,23,4.222,1,4.47,2,0,1.4,20.2,34.8845,41.2545,24580.4,72.08,5.331,80.9957,0,37.0721,1,57.1281,7,4,1,0,34.1,2.93497,8640.28,1,0.3294,4.16667,2.4135,3.528,15.3,0.00198257,1.43417,1,15.7,66.3228,23.3,0,75.6667,1,31498.1,21.6,0.167,0.5,21,158.042,28,1,41.875,0.00676544,11078,4.55296,0.0925,34,89.0445,0.9,1,62.4061,27.6,23.5,7.29728,43,0,42.3333,13203.2,1.47791,1
6008,26.0618,5.351,0,NA,NA,0.5,NA,0,1,2.333,16,0,0,8.2,NA,NA,NA,2.4,1,NA,5.055,NA,NA,NA,0,6.2,NA,NA,0.018,41,60,16.4742,NA,24.6667,NA,15,24.5,16.5362,NA,NA,13,3.781,NA,NA,2,0,NA,17.2,24.379,NA,NA,58.0526,3.102,NA,0,33.3679,1,41.0804,5,3,0,0,25.2,NA,NA,NA,NA,NA,0.243,4.451,NA,NA,NA,NA,NA,NA,NA,NA,69.6667,NA,NA,8.7,0,1.333,24,166.69,13,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,17.8,NA,24,0.5,58,NA,NA,0.167
6009,26.0843,4.406,0,-7.66e-20,554.938,0,1,0,0,1.5,125,1,0,7.8,98.4375,1,1,2.4,1,70.1875,5.144,1.45684,0.3424,0.953108,1,7.7,100,0,0.939,151,98,NA,7.72461,47,1,24.1,NA,NA,0.0877888,27.3,178,5.556,1,5.97,4,0,1.4,31.5,163.224,5.24274,26800.3,NA,3.936,75.7086,1,NA,1,NA,5,4,0,0,200,4.04426,8638.72,1,0.29967,65.0948,1.3987,5.091,69,0.00239152,1.53644,1,9.2,67.5195,46.5,1,NA,NA,27738,NA,4.6,1,31,180.792,79,1,200,0.009551,10806.1,3.2948,0.0304,2,118.62,0.9,0,62.6406,35.9,78.6,6.03735,250,0.25,74.6667,13658.8,0.499325,2.5
6016,21.4814,3.737,0,NA,NA,0,NA,0,0,4,78.2,1,0.75,6.5,NA,NA,NA,2.8,1,NA,4.675,NA,NA,NA,1,9.5,NA,NA,2.084,101,75,NA,NA,35,NA,NA,125,NA,NA,NA,64,4.981,NA,NA,2,0,NA,30.8,125.997,NA,NA,NA,3.82,NA,1,NA,1,NA,7,3,1,0,200,NA,NA,NA,NA,NA,1.89,4.577,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,1.4,0.667,38,180.088,50,NA,83.0417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,0.667,55,NA,NA,0.333
6040,28.4487,4.078,0,NA,NA,0.5,NA,0,0,1.333,72.4,1,0.5,6.2,NA,NA,NA,1.8,1,NA,4.816,NA,NA,NA,0,9.7,NA,NA,2.321,92,71,32.6043,NA,43.2,NA,30.4,125,13.1144,NA,NA,74,4.721,NA,NA,2,0,NA,33,65.1273,NA,NA,111.196,3.362,NA,0,45.7053,0,97.3101,7,3,0,0,86,NA,NA,NA,NA,NA,1.901,5.176,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,91.1,0.667,0.667,35,187.514,37,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,NA,NA,87,0.333,78,NA,NA,0.5
6042,29.1316,3.354,1,NA,NA,0.5,NA,0,0,5.5,17.6,0,1,8.5,NA,NA,NA,2,1,NA,4.714,NA,NA,NA,0,9,NA,NA,0.052,35,56,21.1135,NA,28,NA,16.1,27.3,16.9943,NA,NA,9,6.187,NA,NA,2,0,NA,16.6,24.4555,NA,NA,62.6891,5.325,NA,1,38.2066,1,45.6661,5,3,1,0,23,NA,NA,NA,NA,NA,0.425,4.391,NA,NA,NA,NA,NA,NA,NA,NA,83.3403,NA,NA,9.7,0.167,1.333,17,152.963,13,NA,29.1667,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,NA,NA,29,0,53.6667,NA,NA,0.333
6043,27.0311,4.103,1,8.36e-20,389.432,0.75,1,0,0,1.5,125,1,1,7.2,98.4127,1,NA,3.8,0,56.75,3.835,1.29533,0.2332,0.992542,1,8.5,100,0,1.49,174,90,NA,7.62001,52.8333,0,37.9,125,NA,0.103636,38.3,180,4.848,1,5.17,2,0,1.5,NA,166.469,7.94253,24198.8,NA,5.117,71.1552,0,NA,1,NA,5,3,1,1,200,3.73757,10083.6,1,0.194808,42.1667,1.7791,4.589,43,0.00524101,2.27191,0,10.9,71.6353,42.5,1,200,NA,31362.8,NA,0.5,1.167,48,173.259,82.5,NA,200,NA,12277.1,3.83151,0.0234,0,108.039,0.9,0,63.4751,43.4,125,5.03345,250,0.667,99,11362.6,1.09419,0.667
6046,27.4397,3.613,0.75,-8.25e-20,570.525,0,1,0,0,3.75,NA,0.5,1,7.2,100,1,NA,3.2,0,35,5.177,1.31328,0.2529,1.10288,1,8.6,100,0,3.324,150,93,NA,8.51511,51.25,NA,38,NA,NA,0.170716,14.5,184,4.187,1,4.3,2,0,1.5,36.8,NA,12.4755,22636.6,NA,3.939,60.8062,0,NA,1,NA,5,4,1,0,200,4.06472,10502.2,1,0.274396,77.5,4.3861,4.757,28.5,0.0113693,2.32662,0,9,74.4334,49,1,200,0,29433.5,NA,0.833,1.833,44,170.863,94,1,200,NA,13350.3,3.5933,0.0232,0,100.548,0.9,0,69.1097,42,NA,4.89917,250,1.667,117.2,11143,0.516917,1
6064,21.7971,5.669,0.75,NA,NA,0.75,NA,0,0,6.333,125,1,1,6.2,NA,NA,NA,2.4,1,NA,4.127,NA,NA,NA,1,11.2,NA,NA,1.234,201,96,NA,NA,42,NA,27.6,125,NA,NA,NA,124,5.027,NA,NA,2,0,NA,26.9,166.221,NA,NA,NA,3.482,NA,1,NA,1,127.604,7,3,1,0,200,NA,NA,NA,NA,NA,0.838,4.323,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,1.333,0.5,46,188.772,116,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,71.9,NA,250,1.833,NA,NA,NA,0
6074,31.2103,4.147,0.75,NA,NA,0.75,NA,0,0,5.75,125,1,0.75,7.2,NA,NA,NA,2.5,0,NA,5.657,NA,NA,NA,1,15,NA,NA,1.628,97,91,12.3641,NA,43.6,NA,NA,125,-0.492884,NA,NA,158,5.889,NA,NA,2,0,NA,43.8,103.574,NA,NA,115.924,3.985,NA,0,11.8976,0,116.162,7,3,0,0,200,NA,NA,NA,NA,NA,1.112,4.76,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,1.8,3,37,174.899,42,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.8,NA,123,2.833,135.333,NA,NA,4.2
