chr	rs	ps	n_miss	alpha	beta	gamma
1	snp_1_474406	474406	6	1.294562e-05	3.094607e-02	3.970000e-03
1	snp_1_2445784	2445784	13	8.627353e-06	3.601747e-02	2.280000e-03
1	snp_1_2445785	2445785	15	9.029960e-06	4.858617e-02	1.430000e-03
1	snp_1_2465477	2465477	12	8.524357e-06	6.884856e-02	5.700000e-04
1	snp_1_6579731	6579731	20	6.146188e-06	8.071089e-02	6.900000e-04
1	snp_1_13052513	13052513	3	1.180741e-05	5.042341e-02	2.480000e-03
1	snp_1_13052527	13052527	3	1.173630e-05	5.217191e-02	6.700000e-04
1	snp_1_13052626	13052626	5	1.188469e-05	5.018243e-02	2.530000e-03
1	snp_1_13052751	13052751	2	1.182646e-05	5.174894e-02	1.290000e-03
1	snp_1_13052867	13052867	4	1.189437e-05	4.212057e-02	1.740000e-03
1	snp_1_13053116	13053116	4	1.188689e-05	4.627886e-02	2.700000e-03
1	snp_1_13053341	13053341	6	1.176261e-05	4.815248e-02	2.320000e-03
1	snp_1_13053384	13053384	3	1.196091e-05	5.173265e-02	1.410000e-03
1	snp_1_13053485	13053485	1	1.179496e-05	4.586109e-02	3.050000e-03
1	snp_1_13053555	13053555	3	1.182377e-05	4.421117e-02	1.220000e-03
1	snp_1_13053572	13053572	1	1.180689e-05	3.957491e-02	2.390000e-03
1	snp_1_13054329	13054329	2	1.135727e-05	5.434236e-02	1.280000e-03
1	snp_1_13054367	13054367	2	1.179812e-05	3.668160e-02	2.410000e-03
1	snp_1_13328966	13328966	16	1.727816e-05	3.622898e-02	5.790000e-03
1	snp_1_14006531	14006531	5	9.329535e-06	5.993596e-02	1.550000e-03
1	snp_1_14300695	14300695	16	7.475357e-06	8.051030e-02	1.410000e-03
1	snp_1_14302602	14302602	4	7.542817e-06	7.778780e-02	9.200000e-04
1	snp_1_24698145	24698145	14	9.541162e-06	6.676739e-02	3.080000e-03
1	snp_1_24956932	24956932	11	-1.192724e-05	-6.337883e-02	3.310000e-03
1	snp_1_24969909	24969909	18	-1.594802e-05	-3.911815e-02	7.250000e-03
1	snp_1_29181783	29181783	6	1.272539e-05	4.962600e-02	1.440000e-03
2	snp_2_135797	135797	2	1.298664e-05	5.320581e-02	7.210000e-03
2	snp_2_13579771	13579771	11	-2.723250e-06	0.000000e+00	0.000000e+00
2	snp_2_1723085	1723085	1	1.085123e-05	5.584677e-02	1.210000e-03
2	snp_2_1725005	1725005	11	1.027039e-05	4.713257e-02	1.350000e-03
2	snp_2_1725007	1725007	9	1.065819e-05	5.564802e-02	2.730000e-03
2	snp_2_17250075	17250075	4	-7.035598e-07	0.000000e+00	0.000000e+00
2	snp_2_1726269	1726269	3	1.070977e-05	5.495092e-02	1.560000e-03
2	snp_2_1768439	1768439	14	1.026608e-05	7.236802e-02	4.610000e-03
2	snp_2_1784864	1784864	20	9.792315e-06	7.110440e-02	9.800000e-04
2	snp_2_1787886	1787886	14	1.033813e-05	6.224132e-02	1.880000e-03
2	snp_2_1867274	1867274	14	8.292195e-06	6.407236e-02	1.470000e-03
2	snp_2_1867287	1867287	10	8.014348e-06	6.764559e-02	1.380000e-03
2	snp_2_1867347	1867347	19	7.221064e-06	7.427978e-02	9.700000e-04
2	snp_2_11678443	11678443	20	1.255693e-05	5.765338e-02	4.440000e-03
2	snp_2_12928949	12928949	5	1.132554e-05	5.568429e-02	1.020000e-03
2	snp_2_12929617	12929617	20	1.075317e-05	5.884962e-02	2.540000e-03
2	snp_2_16783879	16783879	9	1.052478e-05	5.707421e-02	2.180000e-03
2	snp_2_19556939	19556939	6	-1.484822e-05	-4.709694e-02	4.650000e-03
3	snp_3_865559	865559	7	1.341727e-05	6.883557e-02	1.752000e-02
3	snp_3_2566348	2566348	14	1.595688e-05	4.056629e-02	5.610000e-03
3	snp_3_4088655	4088655	18	-1.168688e-05	-7.642168e-02	3.677000e-02
3	snp_3_7028749	7028749	20	-1.430887e-05	-4.266928e-02	2.740000e-03
3	snp_3_9025990	9025990	10	1.955580e-05	3.497468e-02	9.000000e-03
3	snp_3_10587592	10587592	11	1.702973e-05	4.136893e-02	2.800000e-03
3	snp_3_16932954	16932954	12	1.962497e-05	3.326173e-02	4.420000e-03
3	snp_3_17784448	17784448	16	-2.142084e-05	-3.077885e-02	4.200000e-03
3	snp_3_17789405	17789405	9	1.026305e-05	5.715107e-02	1.590000e-03
3	snp_3_19362565	19362565	3	1.075088e-05	5.418735e-02	1.320000e-03
3	snp_3_19367815	19367815	6	1.082378e-05	5.846228e-02	9.600000e-04
3	snp_3_19651831	19651831	5	1.684072e-05	4.306874e-02	6.380000e-03
4	snp_4_1597365	1597365	20	1.322634e-05	7.274223e-02	8.442000e-02
4	snp_4_1600727	1600727	14	1.167990e-05	4.142141e-02	2.210000e-03
4	snp_4_1601862	1601862	18	1.293204e-05	7.355215e-02	6.782000e-02
4	snp_4_1602704	1602704	10	1.219881e-05	6.358565e-02	1.299000e-02
4	snp_4_1603882	1603882	19	1.256089e-05	6.483092e-02	2.638000e-02
4	snp_4_6162767	6162767	11	1.581335e-05	4.194510e-02	2.370000e-03
4	snp_4_6162846	6162846	18	1.636121e-05	4.295181e-02	1.069000e-02
4	snp_4_6755397	6755397	10	1.197979e-05	6.442605e-02	1.411000e-02
4	snp_4_7168645	7168645	16	2.107060e-05	3.413602e-02	1.638000e-02
4	snp_4_7168665	7168665	11	2.112051e-05	2.961879e-02	7.710000e-03
4	snp_4_7891586	7891586	17	2.037930e-05	3.592649e-02	1.030000e-02
4	snp_4_8705184	8705184	8	1.267075e-05	4.514536e-02	3.470000e-03
4	snp_4_8705297	8705297	10	1.270050e-05	4.642590e-02	2.430000e-03
4	snp_4_12078725	12078725	19	1.423914e-05	4.375712e-02	7.240000e-03
4	snp_4_12434510	12434510	3	9.282367e-06	6.480082e-02	8.300000e-04
4	snp_4_12442396	12442396	11	9.268240e-06	6.297787e-02	1.690000e-03
4	snp_4_14454821	14454821	19	-1.947593e-05	-3.511371e-02	6.700000e-03
