chr	rs	ps	n_miss	alpha	beta	gamma
1	snp_1_5059790	5059790	17	3.366322e-05	1.443930e-01	4.690000e-03
1	snp_1_5060054	5060054	16	4.138275e-05	1.323363e-01	8.000000e-03
1	snp_1_5590801	5590801	14	4.595562e-05	1.148699e-01	5.950000e-03
1	snp_1_6943971	6943971	13	-4.178919e-05	-1.326341e-01	2.030000e-03
1	snp_1_9130404	9130404	10	4.292061e-05	1.148883e-01	1.186000e-02
1	snp_1_9931159	9931159	13	4.861360e-05	1.234989e-01	2.888000e-02
1	snp_1_10922032	10922032	4	1.636289e-05	2.726023e-01	6.400000e-04
1	snp_1_10937139	10937139	19	1.656511e-05	2.856724e-01	7.700000e-04
1	snp_1_10941084	10941084	7	1.648039e-05	3.390357e-01	3.100000e-04
1	snp_1_11969574	11969574	11	5.558732e-05	1.043913e-01	9.260000e-03
1	snp_1_13062354	13062354	7	-5.433949e-05	-9.514313e-02	4.630000e-03
1	snp_1_13065932	13065932	6	3.988816e-05	1.518329e-01	9.410000e-03
1	snp_1_13066283	13066283	13	2.971658e-05	1.424965e-01	1.770000e-03
1	snp_1_13924346	13924346	8	2.658766e-05	1.442844e-01	1.830000e-03
1	snp_1_13986136	13986136	18	2.667410e-05	1.387403e-01	1.370000e-03
1	snp_1_13987473	13987473	18	2.472792e-05	2.393943e-01	6.210000e-03
1	snp_1_13987607	13987607	20	2.490637e-05	2.369866e-01	4.340000e-03
1	snp_1_13989625	13989625	16	2.453185e-05	2.007076e-01	5.140000e-03
1	snp_1_13996017	13996017	9	2.387952e-05	1.756427e-01	5.200000e-03
1	snp_1_13996280	13996280	8	2.722015e-05	1.270675e-01	3.300000e-03
1	snp_1_14005308	14005308	17	2.492601e-05	1.931626e-01	2.150000e-03
1	snp_1_14005905	14005905	6	2.592478e-05	2.238517e-01	3.070000e-03
1	snp_1_14006531	14006531	5	2.523978e-05	2.118601e-01	2.050000e-03
1	snp_1_14007403	14007403	3	2.648917e-05	2.322101e-01	7.770000e-03
1	snp_1_14008570	14008570	9	2.875224e-05	1.489560e-01	4.790000e-03
1	snp_1_14008939	14008939	12	2.757705e-05	1.786251e-01	1.910000e-03
1	snp_1_14010399	14010399	6	2.620568e-05	1.881811e-01	8.700000e-04
1	snp_1_14010553	14010553	9	2.709177e-05	1.728284e-01	3.190000e-03
1	snp_1_14015352	14015352	9	2.680347e-05	1.668374e-01	1.170000e-03
1	snp_1_14015367	14015367	7	2.751569e-05	1.384595e-01	5.830000e-03
1	snp_1_14015798	14015798	8	2.759363e-05	1.961681e-01	1.104000e-02
1	snp_1_14016614	14016614	5	2.921424e-05	1.790117e-01	4.600000e-03
1	snp_1_14028301	14028301	5	2.471857e-05	1.659563e-01	2.490000e-03
1	snp_1_14032343	14032343	7	2.301202e-05	1.146323e-01	1.830000e-03
1	snp_1_14048865	14048865	9	2.340027e-05	1.942956e-01	1.960000e-03
1	snp_1_14053036	14053036	10	2.574875e-05	1.992472e-01	1.350000e-03
1	snp_1_14054871	14054871	9	2.336335e-05	1.718982e-01	1.390000e-03
1	snp_1_14057861	14057861	7	2.312569e-05	1.816533e-01	6.900000e-04
1	snp_1_14058441	14058441	5	2.310126e-05	1.922531e-01	8.600000e-04
1	snp_1_14066961	14066961	12	2.223173e-05	1.540469e-01	2.660000e-03
1	snp_1_14067761	14067761	11	2.662824e-05	1.504424e-01	1.300000e-03
1	snp_1_14069369	14069369	18	2.572250e-05	1.564770e-01	1.200000e-03
1	snp_1_14069676	14069676	11	2.426280e-05	2.245558e-01	1.290000e-03
1	snp_1_14069776	14069776	7	2.343653e-05	1.803051e-01	1.770000e-03
1	snp_1_14097032	14097032	19	2.529828e-05	1.818290e-01	2.130000e-03
1	snp_1_14142053	14142053	15	2.531716e-05	1.500603e-01	1.270000e-03
1	snp_1_19372242	19372242	8	-3.961970e-05	-1.229323e-01	6.310000e-03
1	snp_1_19775987	19775987	0	-2.807012e-05	-1.303859e-01	2.690000e-03
1	snp_1_21664313	21664313	14	5.938192e-05	9.562618e-02	1.612000e-02
1	snp_1_21973001	21973001	18	3.998020e-05	1.254653e-01	4.060000e-03
1	snp_1_22204636	22204636	8	3.033181e-05	1.646465e-01	1.480000e-03
1	snp_1_22254972	22254972	9	5.393770e-05	1.046115e-01	1.010000e-02
1	snp_1_24059214	24059214	10	5.991001e-05	9.153386e-02	2.137000e-02
1	snp_1_24598941	24598941	9	-2.392369e-05	-1.989850e-01	4.900000e-04
1	snp_1_24598942	24598942	5	-2.409765e-05	-1.251097e-01	3.130000e-03
1	snp_1_25766155	25766155	15	-5.089649e-05	-1.074218e-01	6.720000e-03
1	snp_1_28960616	28960616	6	5.967372e-05	1.320098e-01	5.897000e-02
2	snp_2_1320534	1320534	19	2.409308e-05	1.130591e-01	1.600000e-03
2	snp_2_1707166	1707166	7	3.173256e-05	2.088198e-01	1.473000e-02
2	snp_2_1718394	1718394	16	2.566099e-05	2.100269e-01	1.310000e-03
2	snp_2_1723085	1723085	1	2.896253e-05	1.485320e-01	4.990000e-03
2	snp_2_1768439	1768439	14	2.395717e-05	1.289103e-01	1.250000e-03
2	snp_2_1772696	1772696	11	2.340083e-05	2.087880e-01	9.900000e-04
2	snp_2_1837418	1837418	11	3.910120e-05	1.146637e-01	3.150000e-03
2	snp_2_1867274	1867274	14	2.269330e-05	2.591024e-01	9.800000e-04
2	snp_2_1867287	1867287	10	2.119871e-05	2.879555e-01	1.710000e-03
2	snp_2_1867347	1867347	19	1.900896e-05	2.372001e-01	7.000000e-04
2	snp_2_1867477	1867477	17	2.303070e-05	3.065914e-01	4.990000e-03
2	snp_2_1867702	1867702	12	2.425996e-05	2.959442e-01	5.490000e-03
2	snp_2_2388407	2388407	9	2.043815e-05	3.045957e-01	2.300000e-03
2	snp_2_2431343	2431343	5	2.058374e-05	3.118338e-01	4.710000e-03
2	snp_2_2437974	2437974	6	2.065938e-05	3.083800e-01	3.830000e-03
2	snp_2_2438248	2438248	6	2.065616e-05	3.192281e-01	3.910000e-03
2	snp_2_2444633	2444633	6	2.041191e-05	3.048519e-01	2.240000e-03
2	snp_2_2444832	2444832	6	2.085590e-05	3.107694e-01	4.000000e-03
2	snp_2_13263234	13263234	16	3.035771e-05	1.239841e-01	2.570000e-03
2	snp_2_17481476	17481476	14	-4.560544e-05	-9.244549e-02	6.570000e-03
2	snp_2_18573199	18573199	3	-2.583878e-05	-2.039069e-01	9.900000e-04
2	snp_2_18849092	18849092	17	4.781673e-05	9.786202e-02	1.840000e-03
3	snp_3_7509899	7509899	7	2.303498e-05	2.016505e-01	7.200000e-04
3	snp_3_10178857	10178857	20	2.864414e-05	1.091937e-01	3.190000e-03
3	snp_3_10279744	10279744	8	2.293710e-05	2.016119e-01	4.600000e-04
3	snp_3_10284807	10284807	11	4.573598e-05	9.930176e-02	8.840000e-03
3	snp_3_18120027	18120027	8	3.022325e-05	1.858423e-01	1.040000e-03
3	snp_3_18133963	18133963	10	2.960209e-05	1.518243e-01	9.800000e-04
3	snp_3_18812433	18812433	10	-2.780424e-05	-1.376704e-01	4.240000e-03
3	snp_3_19453460	19453460	15	3.732062e-05	1.374551e-01	3.080000e-03
3	snp_3_19651636	19651636	6	4.226900e-05	1.176805e-01	6.510000e-03
3	snp_3_23366427	23366427	4	1.854385e-05	3.423718e-01	2.960000e-03
3	snp_3_23367241	23367241	11	2.109070e-05	3.543664e-01	5.180000e-03
3	snp_3_23370394	23370394	2	1.878203e-05	2.515501e-01	1.370000e-03
3	snp_3_23371515	23371515	3	1.868813e-05	2.617379e-01	1.290000e-03
3	snp_3_23382323	23382323	10	1.854353e-05	2.577236e-01	1.810000e-03
4	snp_4_6442925	6442925	9	-3.627270e-05	-1.402685e-01	1.230000e-03
4	snp_4_8017248	8017248	17	3.184871e-05	1.980322e-01	6.990000e-03
4	snp_4_8697356	8697356	5	2.649084e-05	1.352001e-01	3.860000e-03
4	snp_4_8699537	8699537	20	2.797317e-05	1.904494e-01	4.060000e-03
4	snp_4_8700307	8700307	10	2.707644e-05	1.803807e-01	4.490000e-03
