chr	rs	ps	n_miss	alpha	beta	gamma
1	snp_1_915832	915832	8	-1.612346e-05	-5.763489e-02	7.470000e-03
1	snp_1_915870	915870	7	-1.605387e-05	-5.798517e-02	6.020000e-03
1	snp_1_915954	915954	5	-1.616399e-05	-5.268961e-02	1.096000e-02
1	snp_1_8586686	8586686	13	1.612537e-05	5.381635e-02	3.420000e-03
1	snp_1_9665344	9665344	5	-1.202762e-05	-6.997515e-02	2.480000e-03
1	snp_1_10190605	10190605	15	-1.014010e-05	-7.590422e-02	4.280000e-03
1	snp_1_10577361	10577361	12	-1.434102e-05	-5.215741e-02	1.910000e-03
1	snp_1_12243249	12243249	12	-8.746251e-06	-7.455690e-02	1.032000e-02
1	snp_1_21678725	21678725	10	1.598757e-05	5.360314e-02	3.920000e-03
1	snp_1_21871843	21871843	20	1.182802e-05	6.890884e-02	3.240000e-03
1	snp_1_22488594	22488594	12	1.738927e-05	5.665457e-02	2.350000e-02
1	snp_1_23450120	23450120	10	1.236244e-05	6.773424e-02	6.750000e-03
1	snp_1_25766155	25766155	15	-1.478319e-05	-5.249488e-02	5.900000e-03
1	snp_1_25766483	25766483	13	-1.473613e-05	-4.400388e-02	1.080000e-03
1	snp_1_26074468	26074468	4	-1.606203e-05	-6.160359e-02	1.747000e-02
1	snp_1_26832191	26832191	7	-6.911049e-06	-8.894843e-02	4.700000e-04
1	snp_1_27108803	27108803	11	1.262299e-05	7.961834e-02	3.650000e-03
1	snp_1_27109708	27109708	7	1.228317e-05	6.414188e-02	5.340000e-03
1	snp_1_29045133	29045133	9	1.147233e-05	6.739482e-02	4.140000e-03
1	snp_1_29048048	29048048	9	1.142559e-05	8.426390e-02	3.500000e-03
2	snp_2_538698	538698	13	1.139054e-05	8.423585e-02	2.730000e-03
2	snp_2_544912	544912	8	1.191549e-05	6.280558e-02	1.390000e-03
2	snp_2_545208	545208	9	1.135659e-05	6.540209e-02	1.540000e-03
2	snp_2_2368145	2368145	17	9.332811e-06	8.629001e-02	1.190000e-03
2	snp_2_2383117	2383117	10	9.507264e-06	7.395719e-02	2.740000e-03
2	snp_2_2415829	2415829	8	9.134982e-06	7.998401e-02	1.580000e-03
2	snp_2_2415854	2415854	10	9.298824e-06	8.845384e-02	1.650000e-03
2	snp_2_2417200	2417200	13	9.304236e-06	8.841451e-02	2.080000e-03
2	snp_2_2417608	2417608	9	9.078441e-06	7.540508e-02	1.730000e-03
2	snp_2_16537788	16537788	8	-8.903167e-06	-6.977219e-02	1.250000e-03
2	snp_2_16537812	16537812	8	-8.870425e-06	-9.374500e-02	1.258000e-02
2	snp_2_16537824	16537824	9	-8.848231e-06	-8.575569e-02	4.700000e-03
2	snp_2_16544802	16544802	17	-8.417242e-06	-9.378918e-02	2.050000e-03
3	snp_3_4083729	4083729	18	-7.526297e-06	-9.165286e-02	7.500000e-04
3	snp_3_4083771	4083771	13	-7.424407e-06	-8.892796e-02	4.400000e-04
3	snp_3_4083799	4083799	11	-7.500750e-06	-1.247860e-01	6.100000e-04
3	snp_3_4717683	4717683	1	-6.809268e-06	-1.229901e-01	5.000000e-04
3	snp_3_4724028	4724028	20	-7.091470e-06	-8.335177e-02	6.300000e-04
3	snp_3_5265244	5265244	6	-1.253919e-05	-7.310922e-02	6.000000e-03
3	snp_3_5298766	5298766	10	-1.255485e-05	-8.139009e-02	9.010000e-03
3	snp_3_6121544	6121544	11	-1.344421e-05	-6.714293e-02	9.020000e-03
3	snp_3_6121586	6121586	15	-1.339757e-05	-6.167235e-02	3.420000e-03
3	snp_3_14942470	14942470	11	-1.062771e-05	-7.830060e-02	5.060000e-03
3	snp_3_19604489	19604489	9	1.199585e-05	6.390621e-02	3.830000e-03
3	snp_3_21759736	21759736	19	8.883771e-06	8.186536e-02	1.880000e-03
4	snp_4_7453224	7453224	19	-1.643709e-05	-5.971492e-02	2.909000e-02
4	snp_4_9010430	9010430	10	-1.865229e-05	-6.646986e-02	4.638000e-02
4	snp_4_13637617	13637617	10	1.650696e-05	4.849740e-02	6.000000e-03
4	snp_4_13637695	13637695	9	1.698220e-05	5.198576e-02	4.090000e-03
4	snp_4_13639623	13639623	4	-1.621735e-05	-6.754991e-02	2.193000e-02
4	snp_4_15536574	15536574	6	5.418316e-06	1.152785e-01	2.200000e-04
4	snp_4_15573506	15573506	12	5.310148e-06	1.459134e-01	2.500000e-04
4	snp_4_15627233	15627233	8	5.294088e-06	8.566307e-02	1.400000e-04
4	snp_4_15631620	15631620	11	6.929858e-06	1.118314e-01	7.700000e-04
4	snp_4_15634372	15634372	7	6.937134e-06	1.216626e-01	1.180000e-03
4	snp_4_16631793	16631793	13	9.725091e-06	7.787552e-02	6.210000e-03
5	snp_5_160227	160227	13	9.396824e-06	5.089487e-02	2.220000e-03
5	snp_5_392722	392722	17	-1.454091e-05	-7.522662e-02	2.398000e-02
5	snp_5_778069	778069	16	-1.643413e-05	-5.512828e-02	4.010000e-03
5	snp_5_778237	778237	10	-1.653241e-05	-5.184673e-02	4.510000e-03
5	snp_5_996382	996382	6	-1.342126e-05	-8.455204e-02	3.151000e-02
5	snp_5_3448880	3448880	9	1.526406e-05	6.907920e-02	1.051000e-02
5	snp_5_3450444	3450444	13	1.621573e-05	7.353773e-02	3.565000e-02
5	snp_5_3450635	3450635	5	1.530048e-05	6.926434e-02	1.594000e-02
5	snp_5_3450692	3450692	12	1.487021e-05	6.045959e-02	1.592000e-02
5	snp_5_3451333	3451333	5	1.488813e-05	6.859122e-02	3.427000e-02
5	snp_5_3451823	3451823	17	1.368246e-05	5.710515e-02	2.190000e-03
5	snp_5_3452750	3452750	5	1.716626e-05	7.025843e-02	9.312000e-02
5	snp_5_3453040	3453040	7	1.589891e-05	6.482496e-02	4.521000e-02
5	snp_5_3453659	3453659	9	1.375558e-05	5.856099e-02	6.230000e-03
5	snp_5_14797505	14797505	10	-1.304572e-05	-5.467548e-02	2.960000e-03
5	snp_5_17377101	17377101	16	1.631432e-05	5.402930e-02	3.580000e-03
5	snp_5_23119501	23119501	18	9.702347e-06	8.423362e-02	2.730000e-03
