chr	rs	ps	n_miss	alpha	beta	gamma
1	snp_1_2201859	2201859	14	6.076113e-04	7.423328e+00	1.700000e-04
1	snp_1_2555875	2555875	18	1.079676e-03	4.202885e+00	3.173000e-02
1	snp_1_2555888	2555888	18	9.940883e-04	4.158320e+00	2.760000e-03
1	snp_1_2555893	2555893	18	1.074918e-03	3.458538e+00	3.689000e-02
1	snp_1_3840440	3840440	8	1.376116e-03	2.750677e+00	5.970000e-03
1	snp_1_8018003	8018003	9	-1.446090e-03	-2.781050e+00	4.520000e-03
1	snp_1_8019937	8019937	8	-1.452932e-03	-2.506161e+00	4.179000e-02
1	snp_1_8022241	8022241	14	-1.418963e-03	-2.451275e+00	3.277000e-02
1	snp_1_8022269	8022269	14	-1.429997e-03	-2.061054e+00	3.380000e-03
1	snp_1_8022726	8022726	18	-1.440077e-03	-2.656730e+00	1.989000e-02
1	snp_1_8023441	8023441	27	-1.395022e-03	-2.388815e+00	7.470000e-03
1	snp_1_9414123	9414123	9	1.575969e-03	2.698692e+00	7.483000e-02
1	snp_1_9414443	9414443	9	1.496459e-03	2.475575e+00	3.003000e-02
1	snp_1_9414458	9414458	11	1.536553e-03	2.622081e+00	9.340000e-03
1	snp_1_9414495	9414495	17	1.570421e-03	2.587334e+00	1.351000e-02
1	snp_1_9414525	9414525	16	1.496917e-03	2.497559e+00	5.355000e-02
1	snp_1_9414796	9414796	24	1.614866e-03	2.597110e+00	6.448000e-02
1	snp_1_11693658	11693658	11	-9.302517e-04	-4.107781e+00	5.690000e-03
1	snp_1_17305348	17305348	6	1.010195e-03	3.867744e+00	1.114000e-02
1	snp_1_17305364	17305364	5	1.008149e-03	4.125195e+00	3.820000e-03
1	snp_1_19004201	19004201	19	1.459225e-03	3.024929e+00	7.600000e-04
1	snp_1_23961783	23961783	12	9.047694e-04	3.588732e+00	3.600000e-03
2	snp_2_11502973	11502973	21	-7.550303e-04	0.000000e+00	0.000000e+00
2	snp_2_14425805	14425805	11	-1.890714e-03	-2.525438e+00	7.660000e-02
3	snp_3_8446979	8446979	7	1.156468e-03	3.862955e+00	1.123000e-02
3	snp_3_11590400	11590400	13	7.312384e-04	5.678626e+00	5.400000e-04
3	snp_3_11590535	11590535	5	7.299428e-04	2.535679e+00	4.490000e-03
3	snp_3_11590605	11590605	12	7.572534e-04	4.910616e+00	3.800000e-04
3	snp_3_11590610	11590610	8	7.627473e-04	5.333742e+00	1.590000e-03
3	snp_3_11590796	11590796	7	7.649971e-04	4.673511e+00	2.810000e-03
3	snp_3_11590854	11590854	10	7.563978e-04	5.488236e+00	1.150000e-03
3	snp_3_11591813	11591813	10	7.791415e-04	4.688778e+00	2.050000e-03
3	snp_3_18654083	18654083	10	1.036646e-03	4.410987e+00	4.397000e-02
3	snp_3_18655175	18655175	21	1.438078e-03	3.628952e+00	9.002000e-02
4	snp_4_179501	179501	10	8.917489e-04	4.493753e+00	1.394000e-02
4	snp_4_259126	259126	9	1.214841e-03	3.557621e+00	6.600000e-03
4	snp_4_2591260	2591260	24	4.644008e-04	0.000000e+00	0.000000e+00
4	snp_4_482278	482278	13	6.566209e-04	5.931410e+00	2.150000e-03
4	snp_4_484692	484692	10	6.103417e-04	6.409037e+00	1.950000e-03
4	snp_4_738704	738704	22	6.573930e-04	7.827791e+00	1.304000e-02
4	snp_4_739748	739748	23	6.211620e-04	7.885263e+00	7.800000e-04
4	snp_4_771881	771881	8	7.080164e-04	4.770289e+00	2.500000e-03
4	snp_4_931723	931723	7	7.735309e-04	5.984662e+00	2.130000e-03
4	snp_4_1421217	1421217	19	1.244481e-03	2.842898e+00	6.580000e-03
4	snp_4_1520595	1520595	23	1.192926e-03	3.629512e+00	2.089000e-02
4	snp_4_1520596	1520596	16	1.191784e-03	3.683326e+00	1.528000e-02
4	snp_4_6088747	6088747	9	1.131070e-03	3.997868e+00	1.346000e-02
4	snp_4_6088803	6088803	9	1.199927e-03	4.203247e+00	4.069000e-02
4	snp_4_6088873	6088873	5	1.051915e-03	2.964090e+00	9.190000e-03
4	snp_4_8792186	8792186	4	-9.288289e-04	-3.250163e+00	3.120000e-03
4	snp_4_8793082	8793082	10	-9.590326e-04	-4.355189e+00	5.780000e-03
4	snp_4_13072368	13072368	23	1.405475e-03	2.958978e+00	8.620000e-03
4	snp_4_13074452	13074452	14	1.505007e-03	2.852746e+00	1.212000e-02
5	snp_5_1786596	1786596	10	7.195689e-04	4.659255e+00	2.680000e-03
5	snp_5_3173596	3173596	25	1.252267e-03	2.607757e+00	1.056000e-02
5	snp_5_3434612	3434612	15	1.832853e-03	2.287518e+00	2.742000e-02
5	snp_5_3434620	3434620	18	1.806651e-03	2.122767e+00	2.291000e-02
5	snp_5_4175493	4175493	12	1.445723e-03	3.124757e+00	5.108000e-02
5	snp_5_5637230	5637230	23	1.744984e-03	2.385646e+00	4.708000e-02
5	snp_5_7607014	7607014	24	1.202573e-03	3.014482e+00	1.292000e-02
5	snp_5_7650817	7650817	13	-1.590001e-03	-2.594374e+00	1.462000e-02
5	snp_5_9777520	9777520	6	1.058781e-03	3.090594e+00	8.900000e-03
5	snp_5_9781171	9781171	5	1.126439e-03	4.187588e+00	1.488000e-02
5	snp_5_9781325	9781325	21	1.025087e-03	3.189266e+00	4.490000e-03
5	snp_5_18590247	18590247	12	1.072735e-03	4.251593e+00	3.253800e-01
5	snp_5_18590501	18590501	19	1.004994e-03	4.433428e+00	6.332000e-02
